occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
5136,"Painters, sculptors and other visual 
artists",51.00000000,2.44666672,3.50333333,3.01666665,1.00000000,4.25333309,1.36666667,1.60333335,2.43666649,2.44333339,1.68000007,1.05666661,2.77333331,1.43999994,5085
5211,Library and public archive technicians,52.00000000,2.71500015,4.25000000,3.48500013,1.41499996,4.69000006,1.32999992,1.55500007,3.41499996,2.90000010,1.78999996,1.31999993,1.47499990,1.15000010,1005
5212,Technical occupations related to museums and art galleries,52.00000000,1.94000006,3.75999999,3.49000001,1.00999999,4.51999998,1.76999998,1.91999996,3.19000006,2.93000007,1.88999999,1.25000000,3.06999993,1.53999996,900
5221,Photographers,52.00000000,2.15000010,4.11999989,3.88000011,1.15999997,4.11999989,2.72000003,3.24000001,3.72000003,3.69000006,2.35999990,1.48000002,1.63999999,1.63999999,3370
5222,Film and video camera operators,52.00000000,2.73000002,4.46999979,3.19999981,1.11500001,4.82499981,1.75500000,2.29999995,3.32999992,2.71000004,2.24499989,1.43499994,1.40000010,1.04999995,1030
5223,Graphic arts technicians,52.00000000,2.61999989,3.76999998,3.21000004,1.01999998,4.76000023,1.25000000,1.23000002,3.31999993,2.21000004,1.00000000,1.00999999,2.66000009,2.25999999,935
5224,Broadcast technicians,52.00000000,2.34999990,4.19999981,3.00999999,1.11000001,4.78999996,1.98000002,2.43000007,3.04999995,2.80999994,2.55999994,1.21000004,1.94000006,1.16999996,145
5225,Audio and video recording technicians,52.00000000,2.36999989,3.85999990,3.77999997,1.17999995,4.84999990,1.38000000,1.42999995,3.41000009,3.25999999,1.50999999,1.37000000,1.75999999,1.46000004,2670
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",52.00000000,2.70749998,4.57499981,3.34000015,1.54499996,4.56750011,2.01749992,2.13499999,3.93000007,2.26749992,1.77749991,1.21000004,1.83500004,1.39250004,3615
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",52.00000000,2.05999994,4.09000015,3.33666658,1.19000006,4.40333366,1.89999998,2.45666671,3.28999996,3.34333348,2.25666666,2.18666673,2.50999999,1.30999994,3470
5231,Announcers and other broadcasters,52.00000000,2.06999993,4.48499966,3.82500005,1.22499990,4.52499962,1.89000010,2.25500011,3.50500011,4.19999981,2.16499996,1.03500009,1.04999995,1.00000000,725
5232,"Other performers, n.e.c.",52.00000000,1.26999998,4.13999987,2.32999992,1.01999998,3.40000010,1.38999999,1.42999995,3.54999995,2.82999992,1.14999998,1.13000000,1.02999997,1.02999997,1325
5241,Graphic designers and illustrators,52.00000000,1.76999998,4.03999996,3.00000000,1.00000000,4.61999989,1.26999998,1.38000000,2.34999990,2.38000011,1.23000002,1.00000000,1.08000004,1.03999996,11530
5242,Interior designers and interior decorators,52.00000000,2.40333343,4.48000002,3.57333326,1.13999999,4.69666672,1.63999999,1.82000005,3.29999995,2.99000001,2.11000013,1.22000003,2.26666665,1.59000003,4415
5243,"Theatre, fashion, exhibit and other creative designers",52.00000000,1.94999993,4.57000017,3.91000009,1.00500000,4.53999996,1.14999998,1.35000002,2.92000008,2.50500011,1.64999998,1.10000002,2.19500017,1.13999999,2800
5244,Artisans and craftspersons,52.00000000,2.69666672,3.30333328,2.98333335,1.05333340,4.28333330,1.98333335,2.03333330,2.77999997,2.83666658,1.73000002,1.47000003,4.01999998,2.69000006,3485
5245,"Patternmakers - textile, leather and fur products",52.00000000,2.34500003,4.52500010,3.67000008,1.52499998,4.76000023,1.08500004,2.16499996,3.44500017,2.46000004,1.69499993,1.02499998,1.50500000,1.00999999,100
5251,Athletes,52.00000000,2.68000007,4.32000017,3.32999992,1.23000002,4.75000000,2.66000009,4.19999981,3.36999989,3.46000004,2.75999999,2.13000011,3.41000009,2.16000009,755
5252,Coaches,52.00000000,3.28999996,4.75000000,2.96000004,1.36000001,4.21999979,1.25999999,3.25999999,3.94000006,2.92000008,2.46000004,1.37000000,1.34000003,1.08000004,2195
5253,Sports officials and referees,52.00000000,2.32999992,4.15000010,3.26999998,1.44000006,4.26999998,1.97000003,3.15000010,3.84999990,3.35999990,1.29999995,1.14999998,2.11999989,1.61000001,1245
5254,"Program leaders and instructors in recreation, sport and fitness",52.00000000,4.09000015,4.51500034,3.86999989,2.20000005,4.52500010,1.81999993,2.57499981,3.76999998,4.13000011,1.33500004,1.05500007,1.76999998,1.22000003,20990
6211,Retail sales supervisors,62.00000000,3.11999989,4.84999990,4.55000019,1.38000000,4.94999981,1.38000000,2.04999995,3.63000011,4.07999992,1.62000000,1.16999996,1.66999996,1.00000000,8860
6221,Technical sales specialists - wholesale trade,62.00000000,2.25666666,4.64666653,4.38333321,1.15333331,4.62333345,1.65333331,2.42000008,2.71333337,2.56999993,3.28333330,1.24666667,2.25999999,1.20666671,9980
