occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
9432,Pulp mill machine operators,94,2.8425,4.085,1.905,1.3299999,4.4749999,2.145,2.865,2.825,1.8625,1.6950001,2.2850001,4.9225001,2.72
9433,Papermaking and finishing machine operators,94,3.27,4.4299998,2.2,1.13,4.7199998,1.0599999,1.12,3.4200001,1.77,1.0599999,1.25,4.7800002,1.11
9434,Other wood processing machine operators,94,2.375,3.645,1.87,1.29,4.6149998,1.65,1.73,3.25,1.38,1.415,1.855,4.6599998,2.2
9435,Paper converting machine operators,94,2.5019999,4.256,2.2520001,1.27,4.4720001,1.278,1.344,3.6240001,1.488,1.166,1.74,4.6259999,2.28
9436,Lumber graders and other wood processing inspectors and graders,94,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9437,Woodworking machine operators,94,2.02,3.6400001,2.28,1.03,4.8499999,1.38,1.7,3.05,1.3,1.4400001,1.73,4.3200002,1.99
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",94,2.6775,3.8074999,1.46,1.2425001,4.3049998,1.3325,1.6324999,2.9849999,1.7725,1.1075001,1.6875,4.5999999,1.72
9442,"Weavers, knitters and other fabric making occupations",94,2.155,3.5700002,1.6849999,1.135,3.825,1.0599999,1.26,3.095,1.63,1.0650001,2.0250001,4.4700003,2.1300001
9445,"Fabric, fur and leather cutters",94,2.585,3.3699999,1.3499999,1.015,3.7950001,1.025,1.22,2.7649999,1.625,1.0650001,1.505,2.3900001,1.47
9446,Industrial sewing machine operators,94,2.2150002,3.5599999,1.8050001,1.515,4.0749998,1.3150001,1.54,3.405,1.6849999,1.24,1.4349999,3.1999998,1.385
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",94,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9461,"Process control and machine operators, food and beverage processing",94,2.8144445,3.9944444,1.9988889,1.2222222,4.4499998,1.7866666,2.3199999,2.991111,1.9188889,1.5177778,2.3544445,4.7477779,2.3911111
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",94,2.7333333,3.7666667,3.7366667,1.5966667,4.0900002,1.0666666,1.7466667,4.1133332,2.7166667,1.6833334,1.1799999,4.7033334,2.4299998
9463,Fish and seafood plant workers,94,2.7433333,3.5566666,2.6066666,1.4400001,4.0900002,1.1900001,1.7466667,3.2066667,2.0466666,1.5700001,1.47,4.7666669,2.2233334
9465,"Testers and graders, food and beverage processing",94,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9471,Plateless printing equipment operators,94,2.3499999,4.0599999,3.6700001,1.16,3.8199999,1.24,1.73,3.22,2.78,1.28,1.16,1.6900001,1.08
9472,"Camera, platemaking and other prepress occupations",94,2.5250001,3.7550001,2.6799998,1,4.8099999,1.075,1.255,3.02,2.1849999,1.4400001,1.085,2.51,1.4349999
9473,Binding and finishing machine operators,94,2.5,3.5699999,2.51,1,4.6999998,1.05,1.1,3.21,2.03,1.1900001,1.47,3.9300001,1.16
9474,Photographic and film processors,94,2.3299999,4.27,4.0300002,2.6400001,4.8600001,1.76,2.23,3.3299999,3.95,1.41,1.04,1.95,1.1799999
9521,Aircraft assemblers and aircraft assembly inspectors,95,2.51,3.97,2.29,1.35,4.7800002,1.4400001,1.45,3.3800001,1.83,1.46,1.53,4.9699998,2.6099999
9522,"Motor vehicle assemblers, inspectors and testers",95,1.95,4.5500002,2.5550001,1.265,4.6000004,2.325,2.6300001,3.6999998,1.53,2.4649999,1.97,4.54,1.5450001
9523,"Electronics assemblers, fabricators, inspectors and testers",95,2.575,3.8800001,2.2,1.13,4.2849998,1.3075,1.4825,3.415,1.7775,1.415,1.5425,4.7525001,2.2049999
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",95,2.4866667,3.6866667,2.2233334,1.15,4.4166665,1.2833333,1.5066667,3.3366666,1.9133333,1.1933334,1.6,4.8933334,1.8933333
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",95,2.5599999,3.52,2.1599998,1.095,4.1549997,1.415,1.7049999,3.335,2.1399999,1.2750001,1.8150001,4.8499999,2.1099999
9526,Mechanical assemblers and inspectors,95,2.4366667,4.2366667,2.8266666,1.1333333,4.5799999,1.8200001,2.2366667,3.5766666,1.66,1.9233334,2.3366666,4.8299999,2.3033333
9527,"Machine operators and inspectors, electrical apparatus manufacturing",95,2.1900001,4.165,2.2849998,1.39,4.3150001,1.4000001,1.46,3.77,1.46,1.1849999,1.3299999,4.5100002,2.6399999
9531,Boat assemblers and inspectors,95,2.6100001,4.21,2.145,1.125,4.4099998,1.615,1.64,3.95,1.98,1.3050001,1.71,4.8249998,2.6500001
9532,Furniture and fixture assemblers and inspectors,95,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9533,Other wood products assemblers and inspectors,95,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9534,Furniture finishers and refinishers,95,2.77,3.5349998,2.3299999,1.0550001,4.3200002,1.2850001,1.265,3.2449999,2.29,1.255,1.135,3.7950001,2.4450002
9535,"Plastic products assemblers, finishers and inspectors",95,2.72,4.04,1.84,1.1,4.52,1.53,1.66,4.3200002,2.4200001,1.24,1.89,4.9000001,3.6099999
9536,"Industrial painters, coaters and metal finishing process operators",95,2.2733333,3.5633333,2.1833334,1.2433333,4.3833332,1.29,1.6533333,3.4200001,1.66,1.79,1.62,4.6233335,3.6433334
9537,"Other products assemblers, finishers and inspectors",95,2.3428571,3.9000001,2.1442857,1.1185714,4.5585713,1.21,1.3371428,3.2971427,1.9399999,1.29,1.3985714,4.007143,1.9614285
9611,Labourers in mineral and metal processing,96,2.4349999,3.5999999,2.135,1.335,4.4449997,2.0899999,3,3.1800001,2.0949998,2.3699999,2.3299999,4.2750001,2.29
9612,Labourers in metal fabrication,96,2.77,3.8399999,1.99,1.02,4.3099999,1.62,2.1199999,3.1700001,2.0999999,1.55,2.8699999,4.9400001,2.5699999
9613,Labourers in chemical products processing and utilities,96,2.4366667,3.6899998,2.0466666,1.25,4.3166666,1.8733333,2.5733333,3.0733333,1.8433332,1.99,2.0999999,4.4366665,2.1199999
9614,"Labourers in wood, pulp and paper processing",96,2.6875,3.9649999,2.3724999,1.095,4.4274998,1.755,2.4299998,3.4075,2.3125,1.6025,2.4449999,4.4175,1.76
9615,Labourers in rubber and plastic products manufacturing,96,2.77,3.8399999,1.99,1.02,4.3099999,1.62,2.1199999,3.1700001,2.0999999,1.55,2.8699999,4.9400001,2.5699999
9616,Labourers in textile processing,96,2.4366667,3.6899998,2.0466666,1.25,4.3166666,1.8733333,2.5733333,3.0733333,1.8433332,1.99,2.0999999,4.4366665,2.1199999
9617,Labourers in food and beverage processing,96,2.6875,3.9649999,2.3724999,1.095,4.4274998,1.755,2.4299998,3.4075,2.3125,1.6025,2.4449999,4.4175,1.76
9618,Labourers in fish and seafood processing,96,3.3599999,4.1500001,2.4200001,1.1799999,4.52,1.11,2.5599999,3.8,2.9300001,1.0599999,1.23,3.49,1.17
9619,"Other labourers in processing, manufacturing and utilities",96,2.6400001,4.0339999,2.132,1.368,4.2280002,1.73,2.4560001,3.3299999,2.0699999,1.6980001,2.286,4.4679999,1.804
