province,occ_4_digit,female,lives_with_health_worker,lives_with_health_worker_1,lives_with_health_worker_2,lives_with_health_worker_3,age_60_plus,lives_with_age_60_plus,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_plus,lives_with_kids_17_under,lives_with_kids_5_under,lives_with_kids_6_12,lives_with_kids_13_17,lives_with_kids_6_17,lone_parent,multi_gen_hh,low_income_family,educ_lesshighschool,educ_highschool,educ_somecollege,educ_bachelor,main_earner_cf,main_earner_ef,main_earner_hh,language_spoken_not_english,immigrant,nonperm_res,visible_minority_1,visible_minority_2,unsuitable_dwelling,shelter_cost_income_ratio,low_income_nbhd,number_of_families,takes_public_transit,duration_of_commute,work_from_home,mental_health_sometimes,mental_health_always
ON,7333,.037682742,.14167251,.063370027,.052195299,.032454804,.16044627,.26571697,.083969183,.19337091,.14851706,.24164051,.25058949,.069787987,.012124875,.31514382,.13686003,.15272568,.12103704,.22789045,.050605923,.060734473,.047398031,.065551274,.26058701,.59322071,.080641024,.7634536,.7430107,.72446752,.156537,.048498981,.017162452,.21565241,.2409537,.077462368,45.136726,.15352188,237718.39,.032583352,29.046505,.02363771,.041974612,.0058256933
ON,7334,.0018985702,.12940168,.042778064,.039696891,.052881584,.14126945,.24204169,.080122858,.17052913,.21927565,.25957903,.19814479,.063331388,.0090171704,.36578825,.14448902,.19306362,.13854964,.2776525,.04733083,.046399843,.055540707,.075077437,.18662651,.72126192,.017034154,.65763909,.64591086,.63867682,.029797081,.019571505,.0064092278,.068281382,.10639075,.058236077,25.568632,.060017247,113341.99,.007966131,28.077063,.043419335,.083319902,.02799069
ON,7335,.017662184,.11124729,.049578175,.031622905,.030020123,.23083214,.35660538,.091366164,.1398215,.15099965,.24992354,.23978199,.10587591,.022231277,.31367663,.14749441,.13730934,.11858322,.2154316,.027642693,.073850192,.14552684,.13448708,.21950194,.61729789,.028713176,.60705703,.56461334,.53492808,.044365279,.021739498,.0028017827,.067178592,.083044395,.046616454,43.264194,.10084572,135539.16,.00081566063,19.22888,.19887522,.10913469,.026153728
ON,7361,.043315265,.14749441,.042643785,.050158929,.054618213,.10979062,.17346168,.0070512244,.13217932,.18282123,.38180041,.27121359,.025121229,-.0001869783,.34316865,.11311328,.17193954,.14759621,.27673379,.03345459,.030263312,.0019885178,.059781935,.41231427,.46655148,.06135235,.9378069,.93576217,.92541409,.022337912,.0052224267,.0034038362,.082140274,.11777806,.018987766,12.515953,.094701909,156578.11,.022237226,31.626015,.012107345,.080514587,.0054267328
ON,7362,.086522393,.14398758,.047391906,.063285284,.033303931,.038771667,.12610811,.094038479,.29338026,.23822622,.24858913,.11549805,.0075985342,.0026693214,.38923183,.16028413,.17060094,.17544541,.27252749,.018734235,.028142625,.012899511,.062892511,.39272416,.50422013,.040163245,.83835441,.82644778,.8150894,.0084819794,.0074651875,.0057086758,.049143914,.11685728,.016435081,22.945051,.074925371,114525.96,.012009196,31.208944,.0077855811,.10770154,.019117003
ON,7371,.022222616,.13181026,.049753081,.048675362,.034075372,.12755567,.22642277,.048286971,.21560168,.23130774,.24845773,.19351664,.053248413,.009580845,.36454606,.15963528,.16307521,.1462833,.2621007,.037685975,.055566996,.02120572,.13178255,.30522066,.54326367,.019733174,.83221847,.8180232,.8031863,.053781603,.019231653,.0043087602,.073926486,.11009426,.052580945,16.776258,.086869314,162677.14,.024292901,32.250233,.0077336673,.087295502,.017811948
ON,7372,.0064502275,.17888497,.074920841,.040845353,.063119903,.058968704,.13651553,.17296503,.37436065,.21010131,.1380703,.093391292,.011132729,-.000021286567,.40818253,.23857248,.17011248,.10607427,.24752142,.018751513,.040199503,.078776874,.21784739,.42297423,.33361137,.025567044,.75695139,.72742951,.72018653,.026230734,.035519004,-.000097139986,.047281429,.14280234,.073560245,70.104446,.097029015,108906.79,.03092395,43.446339,.0061746417,.10131076,.036959562
ON,7373,.053454559,.14683671,.080423437,.020198239,.046182185,.11760139,.2200283,.088507943,.2678577,.23778804,.21516579,.15714844,.033269569,.00026252307,.38215503,.19439264,.20099258,.15057889,.29103613,.022000097,.068728104,.041992467,.034932476,.25829998,.65629381,.050473787,.70243895,.67491835,.66614741,.021222498,.0009341329,.00035897549,.022027088,.034040738,.064732596,24.737679,.013103885,48009.426,.010939762,27.398449,.033465501,.079530329,.020679895
ON,7381,.17247188,.11256669,.040476881,.039992534,.036712322,.15534708,.30753189,.048265163,.13121311,.17872496,.32277456,.25200993,.058575515,.008436799,.354642,.12004442,.16568974,.18323684,.28736585,.046239734,.09489008,.066084109,.17580669,.44782588,.30761588,.068751611,.67428493,.6438266,.61559194,.12586936,.052521497,.0086030932,.27946815,.30027688,.094951063,25.590723,.22805648,314944.03,.10068999,29.68483,.028383031,.096477501,.020375483
ON,7384,.067060702,.12813036,.05216144,.036989126,.042292524,.16491701,.26195642,.094285458,.18950747,.15824014,.26395112,.20552531,.072585203,.015905321,.29533634,.11910977,.14392953,.13021788,.22434287,.028781835,.049045786,.093740553,.13797161,.30747461,.49249235,.062061451,.63775074,.62318832,.60813659,.064446241,.027082179,.004572439,.098609954,.11970577,.051762138,40.320431,.117528,188948.84,.038775902,30.809933,.075712547,.094522692,.022138735
ON,7441,.041706815,.12237898,.049354576,.035023466,.040776871,.098628595,.22658111,.17875256,.23976825,.18216081,.20980246,.14631127,.037486296,.00571839,.36805475,.15691091,.1704479,.16208163,.27753383,.033433378,.074646272,.13915285,.21088366,.42994916,.29207596,.067091256,.52612656,.49329805,.45671254,.13012017,.071051359,.0093484111,.16053741,.18373686,.10584322,47.873672,.15291585,243499.63,.043045945,31.245338,.04299435,.097280085,.024702467
ON,7442,.057782557,.13272011,.055157471,.050139815,.033373825,.096972145,.22337098,.063754462,.27933535,.19294733,.23983906,.19677004,.023300147,.0040536108,.40217307,.19449593,.18337092,.1454007,.28890502,.038867667,.051886506,.032855008,.097830385,.3336525,.49518624,.073330887,.7316398,.71984857,.68691808,.049223844,.02119788,.0054747998,.080998354,.13235541,.047389809,16.809986,.14106655,218639.72,.019500375,30.288591,.014426591,.086897083,.022377621
ON,7444,.084880285,.10254422,.045357309,.034280725,.02308877,.090182565,.20444596,.080928311,.20059972,.24109057,.28278106,.14118564,.048777223,.0046375101,.41948649,.14749037,.23869596,.19684051,.33452696,.046630818,.080700211,.11537748,.090179607,.27661151,.43560356,.19760533,.60387993,.56430221,.52789462,.11226561,.076275378,.00050712615,.19730228,.21499243,.093581773,34.960045,.13785195,226553.14,.016915919,33.464127,.044180568,.13040753,.050390001
